audit_city,city_size,church_name,address,google_entry_url,website_linked_from_google,is_facebook_link
"Albany, GA",Small,19th South Church of Christ,"724 Liberty Expy, Albany, GA 31705",https://www.google.com/maps/search/?api=1&query=19th%20South%20Church%20of%20Christ%2C%20724%20Liberty%20Expy%2C%20Albany%2C%20GA%2031705,,no
"Albany, GA",Small,2435 S Main St,"S Main St #2435, Moultrie, GA 31768",https://www.google.com/maps/search/?api=1&query=2435%20S%20Main%20St%2C%20S%20Main%20St%20%232435%2C%20Moultrie%2C%20GA%2031768,https://www.destinyworshipcenterglobal.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9737559290036548779,no
"Albany, GA",Small,Abiding Grace Lutheran Church,"5500 GA-212, Covington, GA 30016",https://www.google.com/maps/search/?api=1&query=Abiding%20Grace%20Lutheran%20Church%2C%205500%20GA-212%2C%20Covington%2C%20GA%2030016,http://www.abidinggrace.com/,no
"Albany, GA",Small,Abundant Life Fellowship Center,"214 E Rd, Albany, GA 31705",https://www.google.com/maps/search/?api=1&query=Abundant%20Life%20Fellowship%20Center%2C%20214%20E%20Rd%2C%20Albany%2C%20GA%2031705,,no
"Albany, GA",Small,Abundant Life Pentecostal Worship Center,"106 10 Mile Rd, Fitzgerald, GA 31750",https://www.google.com/maps/search/?api=1&query=Abundant%20Life%20Pentecostal%20Worship%20Center%2C%20106%2010%20Mile%20Rd%2C%20Fitzgerald%2C%20GA%2031750,,no
"Albany, GA",Small,Adventist Community Services / South Georgia,"4580 Bedgood Ave, Arabi, GA 31712",https://www.google.com/maps/search/?api=1&query=Adventist%20Community%20Services%20%2F%20South%20Georgia%2C%204580%20Bedgood%20Ave%2C%20Arabi%2C%20GA%2031712,https://www.acssouthgeorgia.org/contact,no
"Albany, GA",Small,Agape Christian Worship Center,"3210 Martin Luther King Jr Dr, Albany, GA 31701",https://www.google.com/maps/search/?api=1&query=Agape%20Christian%20Worship%20Center%2C%203210%20Martin%20Luther%20King%20Jr%20Dr%2C%20Albany%2C%20GA%2031701,http://agapealbany.org/,no
"Albany, GA",Small,Albany Baptist Church,"3521 Sylvester Rd, Albany, GA 31705",https://www.google.com/maps/search/?api=1&query=Albany%20Baptist%20Church%2C%203521%20Sylvester%20Rd%2C%20Albany%2C%20GA%2031705,,no
"Albany, GA",Small,Albany Bible Church,"100 Grand Island Dr, Albany, GA 31707",https://www.google.com/maps/search/?api=1&query=Albany%20Bible%20Church%2C%20100%20Grand%20Island%20Dr%2C%20Albany%2C%20GA%2031707,https://www.albanybiblechurch.org/,no
"Albany, GA",Small,Albany Fellowship Seventh-day Adventist Church,"381 Fussell Rd, Leesburg, GA 31763",https://www.google.com/maps/search/?api=1&query=Albany%20Fellowship%20Seventh-day%20Adventist%20Church%2C%20381%20Fussell%20Rd%2C%20Leesburg%2C%20GA%2031763,https://albanycommunityga.adventistchurch.org/,no
"Albany, GA",Small,Albany First Church of the Nazarene,"1411 Liberty Expy SE, Albany, GA 31705",https://www.google.com/maps/search/?api=1&query=Albany%20First%20Church%20of%20the%20Nazarene%2C%201411%20Liberty%20Expy%20SE%2C%20Albany%2C%20GA%2031705,,no
"Albany, GA",Small,Albany Grace Church of the Nazarene,"3000 Gillionville Rd, Albany, GA 31707",https://www.google.com/maps/search/?api=1&query=Albany%20Grace%20Church%20of%20the%20Nazarene%2C%203000%20Gillionville%20Rd%2C%20Albany%2C%20GA%2031707,http://facebook.com/GraceChurchAlb/,yes
